Tamanho_N,Algoritmo,mean_time,std_time,mean_co2,std_co2,count,ci_margin_time,ci_margin_co2
17,Dijkstra Clássico (V^2),4.1058858235677085e-05,1.003192001965036e-05,2.9764748875684937e-09,1.5866293879229e-09,75,2.3081351761714764e-06,3.6505026900522485e-10
17,Dijkstra Min-Heap ((V+E)logV),6.470362345377405e-05,1.691177892119345e-05,3.054559989248957e-09,1.1017329952611522e-09,75,3.8910469524459355e-06,2.534857411273158e-10
17,NetworkX (Referência),0.00014145215352371734,2.098122939255689e-05,3.309207528629589e-09,8.211328977931899e-10,75,4.8273424733674545e-06,1.8892552193355057e-10
19,Dijkstra Clássico (V^2),4.7087669372558594e-05,1.186077517607329e-05,6.2768496907764835e-09,9.964038836062206e-09,22,5.258773108482974e-06,4.4178073275233745e-09
19,Dijkstra Min-Heap ((V+E)logV),7.177534557523445e-05,1.7223407691162562e-05,7.8232293083689e-09,1.059800043716894e-08,21,7.840001185505478e-06,4.824151961172308e-09
19,NetworkX (Referência),0.0002585365658714191,0.000285515336867504,8.020995196110529e-09,8.568257881736908e-09,21,0.0001299650231626222,3.9002242271140115e-09
497,Dijkstra Clássico (V^2),0.0014212322235106988,0.002050807708110357,9.516232419198245e-09,1.2077513970072837e-08,75,0.0004718480013179069,2.7787836007886262e-09
497,Dijkstra Min-Heap ((V+E)logV),0.0007946650187174013,0.00033949224179465455,6.568351641437693e-09,5.63687556885245e-09,75,7.811007103213178e-05,1.2969272839780274e-09
497,NetworkX (Referência),0.0025459798177082825,0.0011187936336624835,1.2972711858542926e-08,6.3614836742384386e-09,75,0.00025741103753567247,1.4636444680967521e-09
1000,Dijkstra Clássico (V^2),0.021719627380371042,0.023490209184842174,8.809114698611865e-08,9.176222638542922e-08,75,0.005404606297593887,2.1112570888638465e-08
1000,Dijkstra Min-Heap ((V+E)logV),0.0025464789072672054,0.0014496805492507064,1.278294945413014e-08,5.84913925352968e-09,75,0.00033354120281889576,1.3457647225010234e-09
1000,NetworkX (Referência),0.0075216229756672704,0.001936708437434123,3.217802512340808e-08,7.591581891116299e-09,75,0.00044559614327802354,1.7466643644835013e-09
5000,Dijkstra Clássico (V^2),0.9963842709859212,0.8252013382897779,3.892043984893423e-06,3.2208408141719474e-06,75,0.18986158508038006,7.410481707865679e-07
5000,Dijkstra Min-Heap ((V+E)logV),0.03151362419128413,0.025462855269364013,1.261406594823461e-07,1.0021321511123354e-07,75,0.005858470942537545,2.30569668081882e-08
5000,NetworkX (Referência),0.1677727635701497,0.04129757939997931,6.464980652649497e-07,1.7604278941415423e-07,75,0.009501710093094319,4.050376737077682e-08
10000,Dijkstra Clássico (V^2),4.635076230367025,2.6657293960303803,1.8093053034622298e-05,1.0403917277275693e-05,75,0.6133286327123757,2.3937239721429857e-06
10000,Dijkstra Min-Heap ((V+E)logV),0.09082194964090978,0.05304995522040072,3.575046017726917e-07,2.0712159000890585e-07,75,0.012205686199519377,4.7654349985615624e-08
10000,NetworkX (Referência),0.6779983901977539,0.1528126936646608,2.6491194859212614e-06,5.962332390732839e-07,75,0.035159007739498774,1.3718080981627163e-07
50000,Dijkstra Clássico (V^2),122.78947289784749,77.88442939183587,0.00047945050610908663,0.00030405777434282537,75,17.919579781658328,6.995734048660649e-05
50000,Dijkstra Min-Heap ((V+E)logV),0.99498522122701,0.913907453512725,3.886622797032007e-06,3.5667935883246685e-06,75,0.21027100864900414,8.206446753192896e-07
50000,NetworkX (Referência),19.091260223388673,0.9902293774666644,7.450159116447716e-05,3.86760201207692e-06,75,0.22783108857848028,8.898544081312808e-07
