Tamanho_N,Algoritmo,Repeticao,No_Fonte,Tempo_s,CO2_Emissoes_kg
19,Dijkstra Clássico (V^2),0,17,4.38690185546875e-05,3.384044135649721e-09
19,Dijkstra Min-Heap ((V+E)logV),0,17,0.00010800361633300781,3.5281967184883057e-08
19,NetworkX (Referência),0,17,0.0013532638549804688,1.769669710320847e-08
19,Dijkstra Clássico (V^2),0,4,6.866455078125e-05,4.190677584098061e-08
19,Dijkstra Min-Heap ((V+E)logV),0,4,0.00010371208190917969,3.13898969507392e-08
19,NetworkX (Referência),0,4,0.00017380714416503906,2.966487467511672e-09
19,Dijkstra Clássico (V^2),0,1,7.581710815429688e-05,1.142356029611946e-08
19,Dijkstra Min-Heap ((V+E)logV),0,1,0.00010180473327636719,2.9305835603459536e-09
19,NetworkX (Referência),0,1,0.0002162456512451172,6.588886720814159e-09
19,Dijkstra Clássico (V^2),0,10,4.172325134277344e-05,2.458035589175765e-09
19,Dijkstra Min-Heap ((V+E)logV),0,10,7.43865966796875e-05,2.8152385338697125e-08
19,NetworkX (Referência),0,10,0.0001838207244873047,2.1093588953162067e-08
19,Dijkstra Clássico (V^2),0,12,5.5789947509765625e-05,2.353912789693256e-09
19,Dijkstra Min-Heap ((V+E)logV),0,12,6.198883056640625e-05,2.5121556343645762e-09
19,NetworkX (Referência),0,12,0.0001735687255859375,2.7974665186508954e-09
19,Dijkstra Clássico (V^2),1,3,4.839897155761719e-05,3.0051187035715285e-09
19,Dijkstra Min-Heap ((V+E)logV),1,3,6.556510925292969e-05,3.3131099955694473e-09
19,NetworkX (Referência),1,3,0.00012922286987304688,3.3530501629715037e-09
19,Dijkstra Clássico (V^2),1,9,2.9325485229492188e-05,2.5308527475633876e-09
19,Dijkstra Min-Heap ((V+E)logV),1,9,5.5789947509765625e-05,2.7116256475167797e-09
19,NetworkX (Referência),1,9,0.0002932548522949219,4.1690209053005155e-09
19,Dijkstra Clássico (V^2),1,2,3.4332275390625e-05,2.739341436307363e-09
